lemma,rank,lForm,pos,core_pmw
使う,130,ツカウ,動詞,692.21
より,131,ヨリ,助詞,661.24
人,132,ニン,接尾辞,1284.23
化,133,カ,接尾辞,1058.35
時間,134,ジカン,名詞,655.78
聞く,135,キク,動詞,553.77
四十,136,ヨンジュウ,名詞,727.73
呉れる,137,クレル,動詞,530.09
人,138,ジン,接尾辞,644.85
知る,139,シル,動詞,490.01
し,140,シ,助詞,494.57
後,141,アト,名詞,444.47
パーセント,142,パーセント,名詞,974.56
御,143,ゴ,接頭辞,278.71
そして,144,ソシテ,接続詞,388.0
もう,145,モウ,副詞,433.54
一,146,ヒト,名詞,489.1
会,147,カイ,名詞,839.76
置く,148,オク,動詞,417.15
子供,149,コドモ,名詞,653.05
日,150,ヒ,名詞,474.53
こう,151,コウ,副詞,451.76
入る,152,ハイル,動詞,488.19
気,153,キ,名詞,435.36
方,154,カタ,接尾辞,533.73
作る,155,ツクル,動詞,567.43
関係,156,カンケイ,名詞,717.71
此処,157,ココ,代名詞,388.0
多い,158,オオイ,形容詞,576.54
御座る,159,ゴザル,動詞,71.04
其処,160,ソコ,代名詞,397.11
六十,161,ロクジュウ,名詞,541.02
目,162,メ,名詞,414.42
九十,163,キュウジュウ,名詞,679.46
度,164,ド,名詞,461.78
ほど,165,ホド,助詞,434.45
くらい,166,クライ,助詞,432.63
上,167,ウエ,名詞,394.38
市,168,シ,名詞,802.42
日,169,カ,接尾辞,608.42
八十,170,ハチジュウ,名詞,409.86
出す,171,ダス,動詞,377.07
及び,172,オヨビ,接続詞,601.13
社会,173,シャカイ,名詞,580.18
話,174,ハナシ,名詞,389.82
貴方,175,アナタ,代名詞,289.64
僕,176,ボク,代名詞,318.78
手,177,テ,名詞,345.19
以上,178,イジョウ,名詞,459.04
事業,179,ジギョウ,名詞,771.45
歳,180,サイ,接尾辞,508.23
内,181,ウチ,名詞,397.11
私,182,ワタシ,代名詞,129.33
皆,183,ミナ,名詞,342.46
七十,184,ナナジュウ,名詞,421.7
付ける,185,ツケル,動詞,339.73
べし,186,ベシ,助動詞,380.72
付く,187,ツク,動詞,293.28
世界,188,セカイ,名詞,408.95
他,189,ホカ,名詞,415.33
点,190,テン,名詞,373.43
受ける,191,ウケル,動詞,459.04
人間,192,ニンゲン,名詞,313.32
二千,193,ニセン,名詞,900.78
次,194,ツギ,名詞,223.15
良く,195,ヨク,副詞,343.37
生活,196,セイカツ,名詞,462.69
法,197,ホウ,名詞,381.63
同じ,198,オナジ,連体詞,316.96
書く,199,カク,動詞,339.73
貰う,200,モラウ,動詞,399.84
会社,201,カイシャ,名詞,474.53
何時,202,イツ,代名詞,269.6
高い,203,タカイ,形容詞,535.55
得る,204,エル,動詞,331.53
掛ける,205,カケル,動詞,326.98
条,206,ジョウ,名詞,71.04
そんな,207,ソンナ,連体詞,316.05
中,208,チュウ,接尾辞,409.86
男,209,オトコ,名詞,275.06
研究,210,ケンキュウ,名詞,563.79
地域,211,チイキ,名詞,645.76
顔,212,カオ,名詞,258.67
大,213,ダイ,接頭辞,420.79
情報,214,ジョウホウ,名詞,813.35
意味,215,イミ,名詞,227.7
回,216,カイ,名詞,510.05
彼女,217,カノジョ,代名詞,323.33
知れる,218,シレル,動詞,296.92
侭,219,ママ,名詞,308.76
図,220,ズ,名詞,424.43
そう,221,ソウ,形状詞,362.5
言葉,222,コトバ,名詞,275.06
入れる,223,イレル,動詞,302.39
国,224,クニ,名詞,486.37
関する,225,カンスル,動詞,542.84
県,226,ケン,名詞,613.88
学校,227,ガッコウ,名詞,470.88
間,228,アイダ,名詞,280.53
上げる,229,アゲル,動詞,318.78
り,230,リ,助動詞,521.89
所,231,ショ,接尾辞,572.89
仕事,232,シゴト,名詞,337.0
大きい,233,オオキイ,形容詞,351.57
一人,234,ヒトリ,名詞,357.03
企業,235,キギョウ,名詞,653.96
誰,236,ダレ,代名詞,301.48
可能,237,カノウ,形状詞,432.63
分,238,フン,名詞,305.12
二百,239,ニヒャク,名詞,407.13
何処,240,ドコ,代名詞,306.03
見える,241,ミエル,動詞,337.91
委員,242,イイン,名詞,315.14
頂く,243,イタダク,動詞,185.8
時代,244,ジダイ,名詞,347.93
利用,245,リヨウ,名詞,557.41
少し,246,スコシ,副詞,245.01
今日,247,キョウ,名詞,270.51
本当,248,ホントウ,名詞,252.29
者,249,モノ,名詞,271.42
様,250,サマ,接尾辞,248.65
彼の,251,アノ,連体詞,197.64
二人,252,フタリ,名詞,294.19
掛かる,253,カカル,動詞,326.98
全て,254,スベテ,名詞,287.81
声,255,コエ,名詞,234.99
現在,256,ゲンザイ,名詞,380.72
不,257,フ,接頭辞,303.3
家,258,イエ,名詞,250.47
の,259,ノ,助詞,206.75
方法,260,ホウホウ,名詞,223.15
経済,261,ケイザイ,名詞,526.44
未だ,262,マダ,副詞,236.81
別,263,ベツ,名詞,367.05
女性,264,ジョセイ,名詞,414.42
矢張り,265,ヤハリ,副詞,228.61
食べる,266,タベル,動詞,299.65
教える,267,オシエル,動詞,295.1
頃,268,コロ,名詞,332.44
通り,269,トオリ,名詞,281.44
共,270,トモ,名詞,457.22
他,271,タ,名詞,254.11
心,272,ココロ,名詞,234.99
年度,273,ネンド,名詞,508.23
後,274,ゴ,接尾辞,395.29
活動,275,カツドウ,名詞,561.05
違う,276,チガウ,動詞,220.41
何,277,ナン,名詞,219.5
しか,278,シカ,助詞,288.72
始める,279,ハジメル,動詞,318.78
わ,280,ワ,助詞,128.42
環境,281,カンキョウ,名詞,459.04
大きな,282,オオキナ,連体詞,248.65
部,283,ブ,名詞,480.9
俺,284,オレ,代名詞,135.71
家,285,カ,接尾辞,296.01
トウキョウ,286,トウキョウ,名詞,571.07
一寸,287,チョット,副詞,206.75
先,288,サキ,名詞,249.56
子,289,コ,名詞,237.72
電話,290,デンワ,名詞,306.03
結果,291,ケッカ,名詞,296.01
調査,292,チョウサ,名詞,456.31
変わる,293,カワル,動詞,241.36
過ぎる,294,スギル,動詞,232.25
ちゃん,295,チャン,接尾辞,254.11
君,296,クン,接尾辞,180.34
又,297,マタ,副詞,225.88
内,298,ナイ,接尾辞,357.03
相手,299,アイテ,名詞,224.06
目,300,メ,接尾辞,296.92
呼ぶ,301,ヨブ,動詞,225.88
感ずる,302,カンズル,動詞,263.22
状況,303,ジョウキョウ,名詞,354.3
強い,304,ツヨイ,形容詞,275.06
アメリカ,305,アメリカ,名詞,187.63
力,306,リョク,接尾辞,401.66
女,307,オンナ,名詞,260.49
上,308,ジョウ,接尾辞,257.76
教育,309,キョウイク,名詞,445.38
買う,310,カウ,動詞,298.74
地,311,チ,名詞,265.95
計画,312,ケイカク,名詞,437.19
技術,313,ギジュツ,名詞,539.2
用,314,ヨウ,接尾辞,318.78
先ず,315,マズ,副詞,185.8
直ぐ,316,スグ,副詞,219.5
悪い,317,ワルイ,形容詞,218.59
大学,318,ダイガク,名詞,466.33
続ける,319,ツヅケル,動詞,289.64
先生,320,センセイ,名詞,147.55
特に,321,トクニ,副詞,257.76
ばかり,322,バカリ,助詞,200.38
何の,323,ドノ,連体詞,181.25
内容,324,ナイヨウ,名詞,219.5
或いは,325,アルイワ,接続詞,96.55
書,326,ショ,接尾辞,279.62
写真,327,シャシン,名詞,309.67
約,328,ヤク,接頭辞,630.28
保険,329,ホケン,名詞,188.54
生,330,セイ,接尾辞,293.28
号,331,ゴウ,名詞,143.0
場所,332,バショ,名詞,205.84
車,333,シャ,接尾辞,227.7
昭和,334,ショウワ,名詞,176.7
筈,335,ハズ,名詞,214.95
代,336,ダイ,名詞,249.56
状態,337,ジョウタイ,名詞,153.93
一般,338,イッパン,名詞,258.67
例えば,339,タトエバ,副詞,163.94
少ない,340,スクナイ,形容詞,238.63
五百,341,ゴヒャク,名詞,318.78
使用,342,シヨウ,名詞,242.27
示す,343,シメス,動詞,239.54
部分,344,ブブン,名詞,190.36
館,345,カン,接尾辞,213.13
政府,346,セイフ,名詞,335.18
長い,347,ナガイ,形容詞,197.64
こんな,348,コンナ,連体詞,199.47
八百,349,ハッピャク,名詞,200.38
平成,350,ヘイセイ,名詞,678.55
ページ,351,ページ,名詞,148.46
労働,352,ロウドウ,名詞,255.94
好き,353,スキ,形状詞,213.13
二,354,フタ,名詞,195.82
早い,355,ハヤイ,形容詞,207.66
制度,356,セイド,名詞,389.82
員,357,イン,接尾辞,327.89
対象,358,タイショウ,名詞,261.4
みたい,359,ミタイ,形状詞,176.7
存在,360,ソンザイ,名詞,172.14
返る,361,カエル,動詞,192.18
開発,362,カイハツ,名詞,415.33
致す,363,イタス,動詞,40.99
気持ち,364,キモチ,名詞,218.59
切る,365,キル,動詞,247.74
国,366,コク,接尾辞,284.17
基本,367,キホン,名詞,251.38
三百,368,サンビャク,名詞,266.87
規定,369,キテイ,名詞,54.65
体,370,カラダ,名詞,174.87
頭,371,アタマ,名詞,153.01
質問,372,シツモン,名詞,142.09
項,373,コウ,名詞,24.59
説明,374,セツメイ,名詞,234.99
読む,375,ヨム,動詞,195.82
氏,376,シ,接尾辞,456.31
省,377,ショウ,接尾辞,434.45
水,378,ミズ,名詞,174.87
何故,379,ナゼ,副詞,173.05
実施,380,ジッシ,名詞,520.07
表,381,ヒョウ,名詞,121.14
全く,382,マッタク,副詞,132.07
重要,383,ジュウヨウ,形状詞,246.83
立つ,384,タツ,動詞,186.71
施設,385,シセツ,名詞,408.04
殆ど,386,ホトンド,名詞,204.93
なんて,387,ナンテ,助詞,162.12
新しい,388,アタラシイ,形容詞,208.57
話す,389,ハナス,動詞,263.22
中国,390,チュウゴク,名詞,334.26
地方,391,チホウ,名詞,269.6
一緒,392,イッショ,名詞,190.36
一番,393,イチバン,副詞,170.32
管理,394,カンリ,名詞,281.44
費,395,ヒ,接尾辞,251.38
参加,396,サンカ,名詞,277.79
機,397,キ,名詞,264.13
易い,398,ヤスイ,接尾辞,240.45
小,399,ショウ,接頭辞,221.32
物,400,ブツ,接尾辞,209.48
或る,401,アル,連体詞,181.25
車,402,クルマ,名詞,235.9
口,403,クチ,名詞,134.8
型,404,ガタ,接尾辞,229.52
最近,405,サイキン,名詞,267.78
形,406,カタチ,名詞,180.34
事件,407,ジケン,名詞,406.22
語,408,ゴ,名詞,154.84
国民,409,コクミン,名詞,313.32
億,410,オク,名詞,318.78
程度,411,テイド,名詞,203.11
勿論,412,モチロン,副詞,171.23
中心,413,チュウシン,名詞,240.45
機関,414,キカン,名詞,317.87
余り,415,アマリ,副詞,130.24
求める,416,モトメル,動詞,292.37
与える,417,アタエル,動詞,167.59
多く,418,オオク,名詞,191.27
欲しい,419,ホシイ,形容詞,225.88
センター,420,センター,名詞,230.43
生きる,421,イキル,動詞,220.41
権,422,ケン,接尾辞,221.32
文化,423,ブンカ,名詞,239.54
飲む,424,ノム,動詞,149.37
其々,425,ソレゾレ,名詞,173.05
詰まり,426,ツマリ,副詞,100.19
若し,427,モシ,副詞,139.35
整備,428,セイビ,名詞,610.24
各,429,カク,接頭辞,228.61
国際,430,コクサイ,名詞,384.36
額,431,ガク,名詞,138.44
願う,432,ネガウ,動詞,153.01
目的,433,モクテキ,名詞,196.73
姿,434,スガタ,名詞,183.07
長,435,チョウ,接尾辞,329.71
笑い,436,ワライ,名詞,134.8
最初,437,サイショ,名詞,167.59
実際,438,ジッサイ,名詞,186.71
部屋,439,ヘヤ,名詞,107.47
感じ,440,カンジ,名詞,157.57
力,441,チカラ,名詞,174.87
待つ,441,マツ,動詞,154.84
らしい,443,ラシイ,助動詞,161.21
続く,444,ツヅク,動詞,285.08
我が,445,ワガ,連体詞,230.43
実,446,ジツ,名詞,133.89
従う,447,シタガウ,動詞,77.42
既に,448,スデニ,副詞,136.62
主義,449,シュギ,名詞,114.76
更に,450,サラニ,副詞,162.12
新,451,シン,接頭辞,324.25
風,452,フウ,名詞,51.0
評価,453,ヒョウカ,名詞,242.27
金,454,カネ,名詞,201.29
率,455,リツ,名詞,338.82
で,456,デ,接続詞,96.55
乗る,457,ノル,動詞,173.96
どんな,458,ドンナ,連体詞,153.93
認める,459,ミトメル,動詞,204.93
理由,460,リユウ,名詞,231.34
ちゃう,461,チャウ,助動詞,148.46
全体,462,ゼンタイ,名詞,234.99
自由,463,ジユウ,名詞,220.41
変化,464,ヘンカ,名詞,177.61
生産,465,セイサン,名詞,260.49
金,466,キン,接尾辞,172.14
以外,467,イガイ,名詞,169.41
普通,468,フツウ,名詞,145.73
下,469,シタ,名詞,124.78
つう,470,ツウ,助動詞,174.87
答える,471,コタエル,動詞,137.53
最後,472,サイゴ,名詞,165.77
終わる,473,オワル,動詞,156.66
開く,474,ヒラク,動詞,242.27
側,475,ガワ,名詞,214.95
分,476,ブン,名詞,225.88
初めて,477,ハジメテ,副詞,214.95
家族,478,カゾク,名詞,232.25
効果,479,コウカ,名詞,262.31
含む,480,フクム,動詞,191.27
量,481,リョウ,名詞,216.77
機能,482,キノウ,名詞,230.43
人々,483,ヒトビト,名詞,137.53
会う,484,アウ,動詞,138.44
以下,485,イカ,名詞,155.75
更に,486,サラニ,接続詞,250.47
迚も,487,トテモ,副詞,150.28
箇月,488,カゲツ,名詞,188.54
戻る,489,モドル,動詞,132.98
影響,490,エイキョウ,名詞,223.15
理解,491,リカイ,名詞,197.64
対策,492,タイサク,名詞,525.53
母,493,ハハ,名詞,118.4
山,494,ヤマ,名詞,184.89
感,495,カン,名詞,296.01
都市,496,トシ,名詞,130.24
数,497,スウ,名詞,267.78
相談,498,ソウダン,名詞,173.96
四百,499,ヨンヒャク,名詞,170.32
例,500,レイ,名詞,117.49
健康,501,ケンコウ,名詞,144.82
系,502,ケイ,接尾辞,227.7
対応,503,タイオウ,名詞,306.94
区,504,ク,名詞,322.42
歩く,505,アルク,動詞,163.94
当たる,506,アタル,動詞,154.84
運動,507,ウンドウ,名詞,132.07
最も,508,モットモ,副詞,183.98
■,509,■,名詞,36.43
此方,510,コチラ,代名詞,144.82
業,511,ギョウ,接尾辞,178.52
料,512,リョウ,接尾辞,200.38
午後,513,ゴゴ,名詞,163.03
個人,514,コジン,名詞,150.28
夜,515,ヨル,名詞,135.71
障害,516,ショウガイ,名詞,502.76
非常,517,ヒジョウ,形状詞,115.67
七,518,シチ,名詞,366.14
自然,519,シゼン,名詞,159.39
品,520,ヒン,接尾辞,187.63
学,521,ガク,接尾辞,139.35
数,522,スウ,名詞,192.18
安全,523,アンゼン,名詞,312.41
当時,524,トウジ,名詞,173.96
期間,525,キカン,名詞,156.66
図る,526,ハカル,動詞,352.48
政治,527,セイジ,名詞,191.27
町,528,チョウ,名詞,218.59
社,529,シャ,名詞,289.64
期,530,キ,名詞,173.96
向かう,531,ムカウ,動詞,133.89
可成,532,カナリ,副詞,106.56
元,533,モト,名詞,284.17
大臣,534,ダイジン,名詞,108.39
確認,535,カクニン,名詞,185.8
指導,536,シドウ,名詞,212.22
なり,537,ナリ,助動詞,102.92
本,538,ホン,接尾辞,147.55
本,539,ホン,名詞,129.33
花,540,ハナ,名詞,102.92
意識,541,イシキ,名詞,169.41
自身,542,ジシン,名詞,132.07
もっと,543,モット,副詞,150.28
結婚,544,ケッコン,名詞,224.97
のみ,545,ノミ,助詞,145.73
式,546,シキ,名詞,114.76
身,547,ミ,名詞,122.05
名,548,メイ,名詞,106.56
サービス,549,サービス,名詞,275.97
こそ,550,コソ,助詞,136.62
経営,551,ケイエイ,名詞,261.4
町,551,マチ,名詞,152.1
唯,553,タダ,接続詞,144.82
父,554,チチ,名詞,112.94
面,555,メン,名詞,214.04
深い,556,フカイ,形容詞,126.6
システム,557,システム,名詞,236.81
色,558,イロ,名詞,96.55
商品,559,ショウヒン,名詞,215.86
今回,560,コンカイ,名詞,223.15
局,561,キョク,名詞,239.54
見せる,562,ミセル,動詞,127.51
店,563,ミセ,名詞,211.31
年間,564,ネンカン,名詞,235.9
事務,565,ジム,名詞,169.41
作品,566,サクヒン,名詞,194.0
死ぬ,567,シヌ,動詞,138.44
六百,568,ロッピャク,名詞,176.7
名前,569,ナマエ,名詞,106.56
若い,570,ワカイ,形容詞,160.3
推進,571,スイシン,名詞,538.28
音,572,オト,名詞,107.47
変える,573,カエル,動詞,164.86
メートル,574,メートル,名詞,170.32
そう,575,ソウ,名詞,137.53
行動,576,コウドウ,名詞,173.96
同,577,ドウ,名詞,417.15
法律,578,ホウリツ,名詞,92.9
七百,579,ナナヒャク,名詞,149.37
自動,580,ジドウ,名詞,150.28
君,581,キミ,代名詞,72.86
残る,582,ノコル,動詞,156.66
発生,583,ハッセイ,名詞,180.34
決定,584,ケッテイ,名詞,188.54
歴史,585,レキシ,名詞,133.89
三,586,ミ,名詞,165.77
駅,587,エキ,名詞,186.71
産業,588,サンギョウ,名詞,223.15
テレビ,589,テレビ,名詞,212.22
組織,590,ソシキ,名詞,229.52
屋,591,ヤ,接尾辞,139.35
メール,592,メール,名詞,154.84
課,593,カ,名詞,54.65
違い,594,チガイ,名詞,131.16
様々,595,サマザマ,形状詞,172.14
特別,595,トクベツ,形状詞,151.19
協力,597,キョウリョク,名詞,297.83
病院,598,ビョウイン,名詞,245.92
消費,599,ショウヒ,名詞,222.24
報告,600,ホウコク,名詞,186.71
確か,601,タシカ,形状詞,99.28
道,602,ミチ,名詞,108.39
旨い,603,ウマイ,形容詞,124.78
価格,604,カカク,名詞,206.75
処理,605,ショリ,名詞,243.18
選ぶ,606,エラブ,動詞,137.53
事実,607,ジジツ,名詞,101.1
保護,608,ホゴ,名詞,188.54
増加,609,ゾウカ,名詞,191.27
神,610,カミ,名詞,87.44
生まれる,611,ウマレル,動詞,132.98
表示,612,ヒョウジ,名詞,108.39
合わせる,613,アワセル,動詞,179.43
条件,614,ジョウケン,名詞,135.71
精神,615,セイシン,名詞,140.26
客,616,キャク,名詞,202.2
行為,617,コウイ,名詞,102.01
責任,618,セキニン,名詞,194.91
進む,619,ススム,動詞,196.73
必ず,620,カナラズ,副詞,119.32
無,621,ム,接頭辞,169.41
医療,622,イリョウ,名詞,203.11
室,623,シツ,接尾辞,103.83
設定,624,セッテイ,名詞,113.85
凄い,625,スゴイ,形容詞,139.35
定める,626,サダメル,動詞,65.58
経験,627,ケイケン,名詞,140.26
我々,628,ワレワレ,代名詞,90.17
文字,629,モジ,名詞,100.19
加える,630,クワエル,動詞,230.43
始まる,631,ハジマル,動詞,174.87
昔,632,ムカシ,名詞,141.17
紹介,633,ショウカイ,名詞,167.59
然も,634,シカモ,接続詞,96.55
親,635,オヤ,名詞,266.87
足,636,アシ,名詞,108.39
今後,637,コンゴ,名詞,275.97
場,638,ジョウ,接尾辞,143.91
市場,639,シジョウ,名詞,191.27
一部,640,イチブ,名詞,134.8
線,641,セン,接尾辞,98.37
意見,642,イケン,名詞,181.25
走る,643,ハシル,動詞,138.44
忘れる,644,ワスレル,動詞,102.92
関わる,645,カカワル,動詞,136.62
土地,646,トチ,名詞,113.85
何方,647,ドチラ,代名詞,115.67
木,648,キ,名詞,63.76
さ,649,サ,助詞,102.01
映画,650,エイガ,名詞,156.66
枚,651,マイ,接尾辞,112.03
団体,652,ダンタイ,名詞,233.17
御前,653,オマエ,代名詞,55.56
まあ,654,マア,副詞,116.58
際,655,サイ,名詞,155.75
働く,656,ハタラク,動詞,151.19
送る,657,オクル,動詞,165.77
戦争,658,センソウ,名詞,150.28
渡る,659,ワタル,動詞,142.09
体,660,タイ,名詞,148.46
決める,661,キメル,動詞,183.07
資料,662,シリョウ,名詞,153.01
注意,663,チュウイ,名詞,84.7
新聞,664,シンブン,名詞,192.18
店,665,テン,接尾辞,257.76
述べる,666,ノベル,動詞,135.71
娘,667,ムスメ,名詞,91.08
同時,668,ドウジ,名詞,141.17
起こる,669,オコル,動詞,96.55
方,670,カタ,名詞,300.56
福祉,671,フクシ,名詞,120.23
判断,672,ハンダン,名詞,165.77
四,673,シ,名詞,189.45
銀行,674,ギンコウ,名詞,140.26
三千,675,サンゼン,名詞,148.46
基づく,676,モトヅク,動詞,167.59
税,677,ゼイ,名詞,79.24
基準,678,キジュン,名詞,122.05
住宅,679,ジュウタク,名詞,236.81
時期,680,ジキ,名詞,145.73
簡単,681,カンタン,形状詞,118.4
つつ,682,ツツ,助詞,168.5
行政,683,ギョウセイ,名詞,142.09
交通,684,コウツウ,名詞,202.2
構造,685,コウゾウ,名詞,130.24
朝,686,アサ,名詞,89.26
越える,687,コエル,動詞,165.77
川,688,カワ,名詞,98.37
午前,689,ゴゼン,名詞,119.32
役,690,ヤク,名詞,135.71
契約,691,ケイヤク,名詞,164.86
予定,692,ヨテイ,名詞,188.54
■■,693,■■,名詞,243.18
番,694,バン,名詞,109.3
代表,695,ダイヒョウ,名詞,217.68
為さる,696,ナサル,動詞,70.13
作業,697,サギョウ,名詞,161.21
政策,698,セイサク,名詞,267.78
立てる,699,タテル,動詞,93.81
比べる,700,クラベル,動詞,122.96
外国,701,ガイコク,名詞,227.7
世紀,702,セイキ,名詞,81.97
近く,703,チカク,名詞,143.0
間,704,カン,接尾辞,226.79
向ける,705,ムケル,動詞,209.48
家庭,706,カテイ,名詞,158.48
色々,707,イロイロ,副詞,77.42
男性,708,ダンセイ,名詞,195.82
データ,709,データ,名詞,138.44
描く,710,エガク,動詞,114.76
検討,711,ケントウ,名詞,224.97
選択,712,センタク,名詞,120.23
原因,713,ゲンイン,名詞,106.56
小さい,714,チイサイ,形容詞,113.85
市民,715,シミン,名詞,99.28
以前,716,イゼン,名詞,112.94
販売,717,ハンバイ,名詞,241.36
進める,718,ススメル,動詞,220.41
外,718,ソト,名詞,80.15
支援,720,シエン,名詞,516.42
警察,721,ケイサツ,名詞,122.05
指定,722,シテイ,名詞,89.26
庁,723,チョウ,接尾辞,228.61
自己,724,ジコ,名詞,84.7
笑う,725,ワラウ,動詞,73.77
小さな,726,チイサナ,連体詞,105.65
大切,727,タイセツ,形状詞,119.32
軍,728,グン,名詞,134.8
中,729,チュウ,接頭辞,130.24
十分,730,ジュウブン,形状詞,121.14
村,731,ムラ,名詞,124.78
明らか,732,アキラカ,形状詞,152.1
再,733,サイ,接頭辞,206.75
何れ,734,イズレ,代名詞,106.56
全国,735,ゼンコク,名詞,279.62
料理,735,リョウリ,名詞,204.93
投資,737,トウシ,名詞,184.89
済む,738,スム,動詞,81.06
友達,739,トモダチ,名詞,93.81
用いる,740,モチイル,動詞,64.67
駄目,741,ダメ,名詞,90.17
嫌,742,イヤ,形状詞,74.69
専門,743,センモン,名詞,227.7
思い,744,オモイ,名詞,134.8
表現,745,ヒョウゲン,名詞,82.88
楽しい,746,タノシイ,形容詞,103.83
法人,747,ホウジン,名詞,121.14
さえ,748,サエ,助詞,108.39
作成,749,サクセイ,名詞,184.89
年金,750,ネンキン,名詞,52.83
期待,751,キタイ,名詞,200.38
ぞ,752,ゾ,助詞,67.4
能力,752,ノウリョク,名詞,177.61
動く,754,ウゴク,動詞,127.51
引く,755,ヒク,動詞,66.49
取り引き,756,トリヒキ,名詞,118.4
裁判,757,サイバン,名詞,224.06
国家,758,コッカ,名詞,80.15
種類,759,シュルイ,名詞,86.53
彼れ,760,アレ,代名詞,84.7
台,761,ダイ,名詞,153.01
今度,762,コンド,名詞,81.06
